City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
120,tongren,27.7172,109.1853,54.79,93,97,2.46,CN,1668726778
121,bagdarin,54.4333,113.6,17.31,83,100,1.3,RU,1668726778
122,sakakah,29.9697,40.2064,60.67,52,2,3.09,SA,1668726779
123,zhigansk,66.7697,123.3711,-9.56,98,100,10.49,RU,1668726779
124,chuy,-33.6971,-53.4616,66.42,65,93,5.19,UY,1668726779
125,gunjur,13.2019,-16.7339,77.07,94,0,0.0,GM,1668726780
126,cabo san lucas,22.8909,-109.9124,82.62,64,20,10.36,MX,1668726781
127,shimoda,34.6667,138.95,58.1,73,67,10.4,JP,1668726782
128,guerrero negro,27.9769,-114.0611,74.35,26,0,8.34,MX,1668726782
129,mahebourg,-20.4081,57.7,68.25,60,7,3.8,MU,1668726783
130,ruteng,-8.6136,120.4721,67.82,84,89,0.81,ID,1668726784
131,port blair,11.6667,92.75,78.44,85,100,6.15,IN,1668726784
132,sao mateus do sul,-25.8742,-50.3828,58.93,66,0,4.94,BR,1668726785
133,cam ranh,11.9214,109.1591,78.76,89,40,6.91,VN,1668726785
134,new norfolk,-42.7826,147.0587,62.71,56,9,1.99,AU,1668726786
135,bengkulu,-3.8004,102.2655,75.24,86,96,6.08,ID,1668726786
136,kiruna,67.8557,20.2251,9.52,72,25,9.22,SE,1668726787
137,chekalin,54.0969,36.245,22.69,84,99,10.02,RU,1668726787
138,cherskiy,68.75,161.3,-17.54,100,100,7.34,RU,1668726788
139,lagoa,39.05,-27.9833,60.58,56,9,9.46,PT,1668726789
140,okhotsk,59.3833,143.3,-4.09,78,0,11.74,RU,1668726789
141,cairns,-16.9167,145.7667,89.11,65,12,6.91,AU,1668726790
142,avera,33.194,-82.5271,45.91,39,38,5.91,US,1668726791
143,antequera,37.0194,-4.5612,61.93,87,94,6.06,ES,1668726791
144,clyde river,70.4692,-68.5914,-14.17,94,78,5.26,CA,1668726792
145,east london,-33.0153,27.9116,66.56,89,100,2.37,ZA,1668726792
146,dikson,73.5069,80.5464,2.93,95,100,16.82,RU,1668726793
147,hamilton,39.1834,-84.5333,31.08,72,100,9.22,US,1668726512
